hash,blockNumber,timeStamp,from,to,value_LPT
0x0056d115dd69227c4d8d8ea5e2e7f017ee6fff0495192b148b4b484e67d2c676,12650622,1623915020,0x28c6c06298d514db089934071355e5743bf21d60,0xf977814e90da44bfa03b6295a0616a897441acec,476851.50284911
0xedaa436dfe74349aeab0c878c59f2437ae271dcb6ac12a1315760225ccf5a28a,12652804,1623944647,0xf977814e90da44bfa03b6295a0616a897441acec,0x505f8c2ee81f1c6fa0d88e918ef0491222e05818,250000.0
0x96cf7798bd484f880e4a6c5a2497fae269d04fee6b91c7cafba189c528ae38ef,12689091,1624433402,0x28c6c06298d514db089934071355e5743bf21d60,0xf977814e90da44bfa03b6295a0616a897441acec,242367.78129256
0x08104d64678dd944e3ce6b58c649d2a6e73fafd8fb78df9cd6cde7d87daac5f3,12770039,1625522109,0x28c6c06298d514db089934071355e5743bf21d60,0xf977814e90da44bfa03b6295a0616a897441acec,192780.06507342
0xc90697cfe60a89b48888a2283d3cd5bf6a82c58619553b7ee8a25a0937be0ffa,12834885,1626397187,0xf977814e90da44bfa03b6295a0616a897441acec,0x28c6c06298d514db089934071355e5743bf21d60,61999.34921509
0xb301df686683341a5b2fb825f2e22631528b39a00a4ed85dded817bf52a6bc39,12867298,1626836433,0x28c6c06298d514db089934071355e5743bf21d60,0xf977814e90da44bfa03b6295a0616a897441acec,12552.954424309999
0x944608e2a99912285d24a22d9dfd5761ccc937b3791098f6c052eb05a57f117b,12875955,1626954032,0x28c6c06298d514db089934071355e5743bf21d60,0xf977814e90da44bfa03b6295a0616a897441acec,12872.72792558
0x9d59a8bcb8cf232fa6a885a034bf70d270ce18752a0a5b8d0e43ba0443e02c18,12881088,1627022417,0x28c6c06298d514db089934071355e5743bf21d60,0xf977814e90da44bfa03b6295a0616a897441acec,13678.330095160001
0x85c1d87265d3a342bd48ca832d229e2e9f521a88290e833a68412f330660ace1,12895341,1627215023,0x28c6c06298d514db089934071355e5743bf21d60,0xf977814e90da44bfa03b6295a0616a897441acec,15247.996299600001
0x38ded9bbc1a54143d02ff72853174e6191f061d6982eea27b2c394a24cdd099d,12903982,1627332023,0x28c6c06298d514db089934071355e5743bf21d60,0xf977814e90da44bfa03b6295a0616a897441acec,35978.876322950004
0x6e76c3c085b7137523fc1f2ba741da35fa2a2c1fff05a03cf855f3a496ea0889,12919837,1627549822,0x28c6c06298d514db089934071355e5743bf21d60,0xf977814e90da44bfa03b6295a0616a897441acec,15541.23112168
0x29bbeec01881cee205054aa2b5f47729613d3857cd3691d07da4359f6203c341,12921683,1627575033,0x28c6c06298d514db089934071355e5743bf21d60,0xf977814e90da44bfa03b6295a0616a897441acec,13453.68992108
0xbecf0a08f4c73cc9781fda949da563fcbee1bd4273f06b834cc8e9fac7ca0c9f,12927153,1627650610,0x28c6c06298d514db089934071355e5743bf21d60,0xf977814e90da44bfa03b6295a0616a897441acec,16775.4433793
0x5d2d5a87dce22a111a75fdd33f1d458301f686294560865c60fef9c0f392fe04,12930186,1627691594,0xf977814e90da44bfa03b6295a0616a897441acec,0x28c6c06298d514db089934071355e5743bf21d60,236101.24948966
0x38d6d97f59e0e3a610833fa8ff4b96c325ba2afd617fa5046473116a881eeb67,13591617,1636589045,0xf977814e90da44bfa03b6295a0616a897441acec,0x28c6c06298d514db089934071355e5743bf21d60,399999.99999999994
0xa53d499797a449c3801c3bd41c066dd2b5311bd49248eb580f3cca0950a0d7de,13600043,1636702823,0x28c6c06298d514db089934071355e5743bf21d60,0xf977814e90da44bfa03b6295a0616a897441acec,318555.99812108
0x5d3c1dd97e67e8973b927893846f29dcc5323d9ff0ada4c59e313bd5124c1288,13988907,1641966035,0x28c6c06298d514db089934071355e5743bf21d60,0xf977814e90da44bfa03b6295a0616a897441acec,319879.0
0xfc9f8414b966d0d2d1f1f83b15951a1083d0a3b9d2c50b5eccff6f8934ce8c9f,14111202,1643599405,0x505f8c2ee81f1c6fa0d88e918ef0491222e05818,0xf977814e90da44bfa03b6295a0616a897441acec,3587.0000000000005
0xeb7f00a96a44bba576c7a0636dbb6c03b3ff8a7c8affdb50f6838fe6ecb0ea02,14919137,1654580449,0x28c6c06298d514db089934071355e5743bf21d60,0xf977814e90da44bfa03b6295a0616a897441acec,738944.0
0x75771d4a132f2c53a05a852273e9d1de5f3c9245cd925f46117b852e18f3c6d5,15074635,1656919398,0xf977814e90da44bfa03b6295a0616a897441acec,0x28c6c06298d514db089934071355e5743bf21d60,380965.99812108
0x23356ce47d3f2dc35bd16b3b92770bf256f8534cfedae736c4483ad1f876c01a,15074714,1656920441,0x28c6c06298d514db089934071355e5743bf21d60,0xf977814e90da44bfa03b6295a0616a897441acec,218326.0
0x0fffd36e6dd609c8bb49b091d2c6c28c71c6863f07b6735a7970525808565206,15234599,1659060133,0xf977814e90da44bfa03b6295a0616a897441acec,0x0a367f918340d47d36b21c93e9a2b6853cc9d6f0,418326.0
0xa12e1ef835f7c001e0913d578131ce45d8e184bc9ad3c05d9289093467248b91,15525092,1663045693,0xf977814e90da44bfa03b6295a0616a897441acec,0x28c6c06298d514db089934071355e5743bf21d60,399999.99999999994
0x722f478fab24f54be089ce48cabbc466e6aa10bd843aa170476d7276ed94dd0f,15525827,1663056344,0x28c6c06298d514db089934071355e5743bf21d60,0xf977814e90da44bfa03b6295a0616a897441acec,300000.0
0x4bedff648d8dee94bf232c709f2b3a065f0eea43e7f2dd7e1d7b6feedd059dc5,15681843,1664972207,0xf977814e90da44bfa03b6295a0616a897441acec,0x28c6c06298d514db089934071355e5743bf21d60,199999.99999999997
0xb6139061d105942d28bd1a7ca04caa2a198db2056ca7de35dd42650536779964,15768068,1666012631,0x28c6c06298d514db089934071355e5743bf21d60,0xf977814e90da44bfa03b6295a0616a897441acec,118325.98000000001
0xd9b264ea360f317dc0b9d7ac927dcae9f482e0cc9dc2394a3a2bfb60e50f2514,15945558,1668154979,0xf977814e90da44bfa03b6295a0616a897441acec,0x5a52e96bacdabb82fd05763e25335261b270efcb,318325.98
0x1e7678dc361cf011a4b245b7c25f872c22dd8838bae7753585145fd2a1372497,16069853,1669654967,0xf977814e90da44bfa03b6295a0616a897441acec,0x76f52d1ae6bbecd0c777185116954da424502f31,30000.0
0x2077c6317584cd5b991ee0e9251cc4085d1da7a9b8864c6d1ac0b77b29558aa3,16129796,1670378543,0x21a31ee1afc51d94c2efccaa2092ad1028285549,0xf977814e90da44bfa03b6295a0616a897441acec,24347.0
0x3fee5a68e6444c5ff600268d0b630ba39680153cc455d3f98a8bab3fe60527ff,16129796,1670378543,0xdfd5293d8e347dfe59e90efd55b2956a1343963d,0xf977814e90da44bfa03b6295a0616a897441acec,17692.0
0x3d347ec24bac0a6ef0da99c15d40e01371a1121cfef519897dda931d1d1565ba,16129796,1670378543,0x28c6c06298d514db089934071355e5743bf21d60,0xf977814e90da44bfa03b6295a0616a897441acec,213339.0
0x655a88095f4163c66155f28b81b8a4cef7b6ac8a76923c61c6fe9bc42b099bca,16221652,1671488003,0xf977814e90da44bfa03b6295a0616a897441acec,0x28c6c06298d514db089934071355e5743bf21d60,625378.0
0x622248e970655f53ee883236f6cedb87cbe435a4868467aacaca7071d06e8c27,16244497,1671763331,0x28c6c06298d514db089934071355e5743bf21d60,0xf977814e90da44bfa03b6295a0616a897441acec,922382.387
0x754268b85c03060ca382adda73cd14f150998bc7b35edb5050ee096531533ecb,16287875,1672286231,0xf977814e90da44bfa03b6295a0616a897441acec,0x28c6c06298d514db089934071355e5743bf21d60,622382.387
0x4b136776f58698c72c060ada8439a96db3d1ac92a9cb0bfb70618587965582bf,16319857,1672671755,0x21a31ee1afc51d94c2efccaa2092ad1028285549,0xf977814e90da44bfa03b6295a0616a897441acec,127549.579
0x9d6fa47f90a1cb3eb5fdf26eb19e30156efb43317073b9f5bbec3a3105a65e92,16319857,1672671755,0xdfd5293d8e347dfe59e90efd55b2956a1343963d,0xf977814e90da44bfa03b6295a0616a897441acec,113688.352
0xf419a00309ea6e1203722afc8f9688afeb341f1eec9c2a2696c224ab26e6ee94,16319857,1672671755,0x28c6c06298d514db089934071355e5743bf21d60,0xf977814e90da44bfa03b6295a0616a897441acec,230778.616
