date,exchange,inflow,outflow,netflow,roll_mean,roll_std,zscore
2025-05-30,binance14,4964468.613677562,4334807.50745155,629661.1062260121,83900.19680053007,223334.32542763822,2.443694709178559
2025-05-15,binance14,168973.51936616618,93819.31296665,75154.20639951617,-5907.45110642109,41088.52281243096,1.9728540224233324
2025-05-05,binance14,16895.061770365523,157040.93243918,-140145.8706688145,-20169.401183602284,61833.074828723686,-1.9403283730842191
2025-05-14,binance14,58573.17654840313,123530.28913828,-64957.11258987687,-15900.296409261837,25832.83266483404,-1.8990103337523476
2025-06-03,binance14,138260.52788198134,733043.1455202501,-594782.6176382687,13900.137608831166,342948.9213541479,-1.774849598137504
2025-06-04,binance14,1901352.1259103988,1027022.5318843,874329.5940260988,138871.29613566672,455773.3767431139,1.613649097158556
2025-05-13,binance14,15926.80269683182,46814.56706328,-30887.764366448184,-6649.541130576013,16527.82140420899,-1.4665104760691354
2025-05-27,binance14,31855.950654901517,10631.62559058,21224.325064321514,-1050.174611505828,16729.004198957275,1.3314898729725777
2025-05-29,binance14,58700.95725571411,84250.5622436,-25549.60498788589,-2795.165378838797,18570.310786900718,-1.2253128054861533
2025-06-01,binance14,1138714.783515525,1326099.5780518202,-187384.7945362951,78252.91910230815,240373.30330482425,-1.1051048930410567
2025-05-30,binance15,1357618.27532127,747385.7445506,610232.5307706699,82715.08974424713,215558.7214127454,2.4472099183421494
2025-05-15,binance15,47460.8085284,16135.3255774,31325.482951,4687.739135775714,13172.55237101701,2.022215821577157
2025-06-01,binance15,0.0,625436.52825219,-625436.52825219,-3738.8787969657155,330387.7988548939,-1.8817209703566369
2025-05-13,binance15,23985.58638,39051.71006549,-15066.123685489998,-1202.3223592400002,7923.295078987234,-1.7497519892976252
2025-05-03,binance15,23684.60820247,5717.8267101,17966.78149237,929.7806198233326,12047.491483383494,1.4141533858766329
2025-05-11,binance15,17669.59237359,12249.61550844,5419.97686515,-1746.8855399985719,5487.821306475783,1.3059576842801848
2025-05-12,binance15,16947.2875266,9481.557061369998,7465.730465230003,88.54873329999971,6081.441707727545,1.213064613043317
2025-05-16,binance15,0.0,16242.32490934,-16242.32490934,1248.4551981485706,14928.349209004089,-1.171648643973236
2025-05-23,binance15,0.0,15945.36674569,-15945.36674569,-563.9283308814286,13459.056331436768,-1.1428318625044782
2025-05-18,binance15,0.0,16570.43724009,-16570.43724009,714.847439891429,16953.12575954869,-1.019592783368911
2025-05-30,binance16,1427069.85063132,803327.08816843,623742.7624628899,90120.22725969998,218548.9519218917,2.44166137842612
2025-05-08,binance16,12824.0635546,4372.50674,8451.5568146,-2335.151989165714,5123.120218644561,2.105495936735911
2025-05-29,binance16,54372.35356578,18538.66028786,35833.69327792,-1397.226780412857,18567.68886020749,2.005145623595763
2025-05-20,binance16,0.0,10847.5157516,-10847.5157516,3276.3290443557134,8542.57383542197,-1.6533476991900122
2025-05-07,binance16,0.0,8549.2092067,-8549.2092067,-4241.8866878,2631.615496255587,-1.6367598249169395
2025-05-05,binance16,0.0,450.0776885300001,-450.0776885300001,-3790.518117284,2222.6848073833894,1.5028853473320247
2025-05-12,binance16,16409.44031238,4599.16256141,11810.27775097,518.5671016214291,7658.855445596037,1.4743339562364353
2025-06-03,binance16,28153.80593024,502801.99919824005,-474648.193268,4351.591588762855,334704.41399045894,-1.4311128411662273
2025-05-13,binance16,0.0,13707.84818702,-13707.84818702,-1126.6387791699995,9155.064817133649,-1.3742348808174838
2025-05-31,binance16,0.0,303827.9091832,-303827.9091832,44320.473085972844,258975.2114387246,-1.3443309123489111
2025-05-30,binance20,0.0,1486694.918,-1486694.918,-416986.085,757004.6764771151,-1.4130808781500814
2025-06-01,binance20,1421653.37,0.0,1421653.37,42673.77875,1031335.8479099678,1.3370810236496118
2025-06-05,binance20,0.0,1000000.0,-1000000.0,-78708.32214285714,956796.2503398664,-0.9628922328341987
2025-06-04,binance20,0.0,619424.503,-619424.503,74840.29083333333,950260.669297351,-0.7306045764755179
2025-06-03,binance20,897771.133,0.0,897771.133,213693.24960000004,983825.9716975323,0.6953240746629862
2025-05-05,binance20,154967.924,0.0,154967.924,,,
2025-05-09,binance20,80768.739,0.0,80768.739,,,
2025-05-30,binance93,4949.56655,0.0,4949.56655,1047.0869497142855,1703.1305709581047,2.2913566738986746
2025-06-01,binance93,9128.11,0.0,9128.11,2611.859166571429,3112.0011390937575,2.0939101697521108
2025-06-03,binance93,2612.518149,7808.144235,-5195.626086,1930.8692074285714,4079.938355447962,-1.746716413965551
2025-06-04,binance93,0.0,7458.762079,-7458.762079,762.8593629999998,5259.874957354513,-1.5630830597035934
2025-05-09,binance93,0.0,531.86,-531.86,469.9557013333333,746.3839149148181,-1.3422257384092564
2025-05-13,binance93,0.0,343.386918,-343.386918,433.848931,738.4743061029278,-1.0524886818359658
2025-05-14,binance93,1117.466067,0.0,1117.466067,547.7851203333333,720.6669551030535,0.79049128398735
2025-05-11,binance93,1102.764469,0.0,1102.764469,628.1578932499999,702.0687373145106,0.6760115506145764
2025-05-31,binance93,5325.977312999999,2929.777326,2396.1999869999995,1465.3812335714285,1621.5873155704953,0.5740170415067023
2025-06-02,binance93,1202.775521,0.0,1202.775521,2832.739515,2944.786628933884,-0.5535083520092267
2025-05-13,bitvavo_hot3,26812.30599424,0.0,26812.30599424,4462.316691095563,9176.045530949572,2.435688579329834
2025-05-26,bitvavo_hot3,8118.384973110462,52060.7,-43942.31502688953,331.69380210483047,18271.131722945654,-2.4231672947436094
