date,inflow,outflow,netflow,roll_mean,roll_std,zscore
2025-05-30,8978800.009953488,8672889.441951176,305910.5680023114,30870.84796269951,116085.28485160481,2.3692901334669867
2025-06-01,3696191.257232424,2837692.361214065,858498.8960183589,146428.1952539928,315303.2844296955,2.258367533507693
2025-05-15,274016.47358191427,141352.38031264002,132664.09326927425,14733.675544962187,54200.154779112774,2.1758317518635417
2025-05-14,366263.6144016337,316449.0630284458,49814.551373187904,-3845.33993384114,25033.44887157963,2.1435277089585885
2025-05-26,15669.856404197968,90894.09482195,-75224.23841775203,-21628.047458323497,28988.391173453343,-1.8488846324286612
2025-06-05,3013790.9835306294,3536290.1991128293,-522499.21558220027,129084.6551186939,408929.777047967,-1.5933881738929079
2025-05-05,330589.5225936861,259445.1320678192,71144.39052586695,18963.135020789887,33309.42922590662,1.5665610824844984
2025-05-29,195374.1435692941,169893.08381851244,25481.059750781667,-14147.90579636926,29530.18182035528,1.3419817659176927
2025-05-12,77982.628034475,100604.97621725242,-22622.348182777427,-4176.8970094015995,13996.02501234677,-1.317906416793621
2025-05-13,78918.77307107182,106703.5747403,-27784.80166922818,-8756.035320284975,15631.646622145276,-1.2173232167355454
