ts,price,market_cap,volume,apy_30,corr_btc_30,corr_eth_30,corr_btc_60,corr_eth_60
2025-06-25,5.6753240477154385,237265314.34323257,34795954.503353074,,,,,
2025-06-26,5.533084595343581,231553559.84525764,29019058.50232252,,,,,
2025-06-27,5.994108280818422,250994575.52588758,135525262.02442634,,,,,
2025-06-28,5.900040564487398,247360625.2771235,47534951.21216364,,,,,
2025-06-29,6.64988075175508,278781659.56231004,225628604.35661358,,,,,
2025-06-30,6.171950215335252,259053914.47162536,53174058.85373509,,,,,
2025-07-01,6.049218405000229,254037401.89344457,43976909.98065181,,,,,
2025-07-02,6.363245079833786,267400923.4446095,41934485.82823809,,,,,
2025-07-03,6.266923161176749,263543695.79907122,31265612.548272766,,,,,
2025-07-04,5.954123629564805,250654321.98718232,21771728.87495391,,,,,
2025-07-05,6.207934882212203,261674506.11900282,87220497.38750052,,,,,
2025-07-06,6.217935012805337,261977130.75334844,43853757.64061121,,,,,
2025-07-07,6.04612393864267,254980468.7090746,29585437.254140165,,,,,
2025-07-08,6.1661182504407295,260153088.33655754,18637490.520260066,,,,,
2025-07-09,6.276879988921025,264870709.42627358,26852741.56228899,,,,,
2025-07-10,6.704769739511655,283243264.35582376,35927295.86980293,,,,,
2025-07-11,6.575755639924829,277744315.52041125,62195263.73956291,,,,,
2025-07-12,6.46605890270281,273373852.47530055,23355241.924959037,,,,,
2025-07-13,6.518669106463596,276261962.7630768,25255596.88340536,,,,,
2025-07-14,6.776642103682351,287136577.8493747,51873156.573334806,,,,,
2025-07-15,6.866649905658684,290601299.0687627,40415720.628884576,,,,,
2025-07-16,7.1236900736169995,302401075.62802035,38583857.81009303,,,,,
2025-07-17,7.158348937806991,304241236.28574663,42223486.57110669,,,,,
2025-07-18,7.2479355833145425,308387541.5242342,55414242.15910215,,,,,
2025-07-19,7.189709166703098,305868430.2904337,19691307.639957692,,,,,
2025-07-20,7.598231496024566,323658744.128425,28376474.51636762,,,,,
2025-07-21,7.7700404644939605,330959055.8210908,37561530.395730846,,,,,
2025-07-22,7.689970155056765,327689447.5287615,41926374.19158383,,,,,
2025-07-23,6.993100684528516,298700918.1000387,35388914.59015418,,,,,
2025-07-24,6.938103719194211,296307621.5827584,29600493.15230875,,,,,
2025-07-25,6.889862320396131,294333301.14515233,30550915.412768107,0.21400333487029632,0.44483726725223127,0.5971491895703798,,
2025-07-26,6.890300379710504,294576986.69543976,13805573.563564556,0.2452909875097702,0.43714782909366356,0.5928306856058195,,
2025-07-27,7.244041221469356,310006651.5336172,18687945.22367731,0.20852692045133892,0.48119059374989764,0.6522245554273937,,
2025-07-28,6.702560929642996,287099528.5739263,27920460.347725652,0.13601946569418555,0.5154938190722982,0.6703969322205854,,
2025-07-29,6.582946665157404,282301135.2135387,21983163.723521404,-0.010065456674544726,0.5745015325076576,0.7481971283340031,,
2025-07-30,6.455235401166392,276751813.3673313,22355335.971952002,0.04589881252238093,0.5660323858507184,0.7659071837579172,,
2025-07-31,6.294383031196545,270194783.2682379,18646576.289927423,0.040528314532942034,0.5691232933785285,0.7763158152590002,,
2025-08-01,5.8613431227444135,251906560.02565414,27889293.080513544,-0.07887515737528095,0.5845957004902527,0.7900484155104261,,
2025-08-02,5.89741614621119,253285944.19066468,15556029.658037316,-0.058961472075265586,0.5878770690107367,0.7756510840121718,,
2025-08-03,6.100311162326502,262502730.98328522,9317735.743801948,0.02455231732774421,0.5788235860599881,0.763685686692649,,
2025-08-04,6.470455154042067,278590512.2538707,13504542.192036502,0.04228785849253636,0.5955441827173252,0.8161967455796693,,
2025-08-05,6.083386883075261,262236461.75593826,12501503.027227823,-0.021638715980945578,0.6146848191016558,0.831537077006873,,
2025-08-06,6.237038871292447,268960747.02436733,10796462.77496816,0.03157641731913241,0.6110547043976414,0.8278341161396403,,
2025-08-07,6.5227025731845245,281493559.2675604,12896632.115289053,0.05782962769458866,0.6272202201539288,0.83393966742577,,
2025-08-08,6.735233352489158,291080033.60901,14219744.752000067,0.07302248320457738,0.6082305753157654,0.8491847290669166,,
2025-08-09,6.9080700992363395,298582825.0035872,13888427.194734221,0.030321751174633427,0.543480765747439,0.8283058929585637,,
2025-08-10,6.870127597189596,297009340.0466177,13952785.212957637,0.04476625552772728,0.5381302461258591,0.8249936207549753,,
2025-08-11,6.427951228192691,277982043.80551976,28492051.388716273,-0.0058934932520007255,0.522405615246254,0.8082721391704046,,
2025-08-12,6.905141514727055,299213643.9779587,21846959.992040988,0.059287011190712446,0.5374612107913243,0.8307830033916024,,
2025-08-13,7.141403063224329,309665857.90546566,26186841.742184836,0.05382620978962005,0.5343818241564072,0.8432148651100656,,
2025-08-14,6.486794490245302,281515271.451095,34572894.91923023,-0.055318884846648264,0.6511694388833119,0.859282758518774,,
