ts,price,minutes,corr_min_price_lag0,corr_min_price_lag7,corr_min_price_lag30
2025-06-25,5.720204234294664,,,,
2025-06-26,5.62563933702338,,,,
2025-06-27,5.7767409677982124,,,,
2025-06-28,5.8774424143730775,,,,
2025-06-29,6.599375479621114,,,,
2025-06-30,6.347660833403544,,,,
2025-07-01,6.050429972852456,,,,
2025-07-02,6.126174393057831,,,,
2025-07-03,6.28405452880877,,,,
2025-07-04,6.065751780271019,,,,
2025-07-05,6.1373905183858914,,,,
2025-07-06,6.154534888773488,,,,
2025-07-07,6.173732957764319,,,,
2025-07-08,6.074346388715804,,,,
2025-07-09,6.168407035580003,,,,
2025-07-10,6.400086630469684,,,,
2025-07-11,6.835697512023169,,,,
2025-07-12,6.557129024635393,,,,
2025-07-13,6.587899465138988,,,,
2025-07-14,6.767450363548537,,,,
2025-07-15,6.665108903272521,,,,
2025-07-16,6.967230712976222,,,,
2025-07-17,7.035562741107937,,,,
2025-07-18,7.3978133084425854,,,,
2025-07-19,7.180131912949281,,,,
2025-07-20,7.436720250287301,,,,
2025-07-21,7.710320747977882,,,,
2025-07-22,7.5624784064289985,,,,
2025-07-23,7.325147421977783,,,,
2025-07-24,6.889333610522882,,,,
2025-07-25,6.721107934124845,,,,
2025-07-26,6.889644172912898,,,,
2025-07-27,6.98405160617385,,,,
2025-07-28,7.1046145171820605,,,,
2025-07-29,6.704249610371094,,,,
2025-07-30,6.502276493494255,,,,
2025-07-31,6.582649573597835,,,,
2025-08-01,6.07156974082936,,,,
2025-08-02,5.952929194968203,,,,
2025-08-03,6.01883082838322,,,,
2025-08-04,6.2541827495196,,,,
2025-08-05,6.25857909361109,,,,
2025-08-06,6.146894237773496,,,,
2025-08-07,6.329787000921872,,,,
2025-08-08,6.614308302036641,,,,
2025-08-09,6.856596734087887,,,,
2025-08-10,6.864427304001659,,,,
2025-08-11,6.795244576899402,,,,
2025-08-12,6.598983021646514,,,,
2025-08-13,6.996654386354614,,,,
2025-08-14,6.828400477721616,,,,
2025-08-15,6.4830892409738565,,,,
2025-08-16,6.562313327508339,,,,
2025-08-17,7.008060891979812,,,,
2025-08-18,6.451555714061609,,,,
2025-08-19,6.224014986811824,,,,
2025-08-20,6.264744950646669,,,,
2025-08-21,6.3147354483177445,,,,
2025-08-22,6.413536066859691,,,,
2025-08-23,6.742339159251237,,,,
2025-08-24,6.647949072879604,,,,
2025-08-25,6.295181747289072,,,,
2025-08-26,6.194234619279496,,,,
2025-08-27,7.409557091039215,,,,
2025-08-28,8.062654749678048,,,,
2025-08-29,7.219413417714858,,,,
2025-08-30,7.081990766976632,,,,
2025-08-31,7.023815034236649,,,,
2025-09-01,6.710725641180876,,,,
2025-09-02,6.702533693643389,,,,
2025-09-03,6.815070772650375,,,,
2025-09-04,6.775834990967906,,,,
2025-09-05,6.8010269408567305,,,,
2025-09-06,6.994571068087532,,,,
2025-09-07,7.0135642873993325,,,,
2025-09-08,7.016821301036611,,,,
2025-09-09,7.116639004945416,,,,
2025-09-10,7.084552796023067,,,,
2025-09-11,7.121829759128847,,,,
2025-09-12,7.192381333497063,,,,
2025-09-13,7.339979494146108,,,,
2025-09-14,7.1585752913782805,,,,
2025-09-15,6.839259668275196,,,,
2025-09-16,6.741732480185045,,,,
2025-09-17,6.810676798609211,,,,
2025-09-18,7.117541190455362,,,,
2025-09-19,6.940014168869289,,,,
2025-09-20,6.833833801100734,,,,
2025-09-21,6.821679664574041,,,,
2025-09-22,6.326540346148129,,,,
2025-09-23,6.322961097557916,,,,
